,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
15,opf,40,1,246,cosine,pearson,1.0336698940367324,1.1773462835926436,0.28125,0.2949946992558329,0.2730280409499292,0.515625,0.6193548387096776,0.6849999999999999,0.21875,0.3225806451612903,0.3149999999999999
16,opf,40,37,4,euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
17,opf,40,39,15,jaccard,pearson,1.020501827848722,1.1652471031197744,0.484375,0.5005035957243373,0.4862739637768845,0.46875,0.5053763440860215,0.5366666666666666,0.265625,0.3903225806451612,0.36
18,opf,40,39,2,pearson,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
19,opf,40,38,9,squared_euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
20,opf,50,50,8,cosine,pearson,0.9640006220316522,1.124689636510233,0.71875,0.7240565016798254,0.7126231909025772,0.453125,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
21,opf,50,37,4,euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
22,opf,50,42,14,jaccard,pearson,1.025169450369253,1.1704968803788534,0.515625,0.5465672257072102,0.5175637937060475,0.453125,0.4365591397849461,0.4429166666666666,0.296875,0.3838709677419354,0.36
23,opf,50,39,2,pearson,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
24,opf,50,38,9,squared_euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
25,opf,60,60,3,cosine,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
26,opf,60,37,4,euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
27,opf,60,60,8,jaccard,pearson,1.0030635111094754,1.1561815115736378,0.53125,0.565070877995367,0.5359594654084495,0.421875,0.4720430107526882,0.4689285714285714,0.28125,0.4080645161290322,0.37
28,opf,60,60,1,pearson,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
29,opf,60,60,4,squared_euclidean,pearson,0.9565277959446956,1.114961891069291,0.734375,0.7240565016798254,0.7126231909025772,0.46875,0.4849462365591398,0.5029166666666667,0.34375,0.4370967741935483,0.3911111111111111
0,opf,10,1,240,cosine,pearson,1.0211695231123843,1.1666683748455948,0.328125,0.3999078130444941,0.2999971170484822,0.453125,0.6628571428571429,0.7298245614035089,0.171875,0.4042857142857143,0.2421052631578947
1,opf,10,10,48,euclidean,pearson,0.9625807243001744,1.1354483898184111,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
2,opf,10,10,34,jaccard,pearson,1.0361808053109105,1.1899483825127115,0.4375,0.4410484334174829,0.2759216843898749,0.484375,0.6695238095238096,0.7298245614035088,0.21875,0.3928571428571428,0.2210526315789473
3,opf,10,10,29,pearson,pearson,0.961976450430383,1.134839408369253,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
4,opf,10,10,42,squared_euclidean,pearson,0.962531418957453,1.1352295881480317,0.625,0.7014147359013735,0.6009830144292237,0.390625,0.6157142857142858,0.6637844611528823,0.21875,0.4571428571428571,0.3390977443609023
5,opf,20,17,9,cosine,pearson,0.9619922387579092,1.1348603874848455,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
6,opf,20,19,13,euclidean,pearson,0.9618159919308116,1.1347659140891884,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
7,opf,20,16,21,jaccard,pearson,1.0132513553138411,1.1739285251612668,0.515625,0.5054802585165771,0.3770079528350121,0.40625,0.6228571428571429,0.6614035087719298,0.1875,0.41,0.2496240601503759
8,opf,20,16,14,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
9,opf,20,19,12,squared_euclidean,pearson,0.9619922387579092,1.1348603874848455,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
10,opf,30,25,4,cosine,pearson,0.9617871344030352,1.134767448420179,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
11,opf,30,19,13,euclidean,pearson,0.9618159919308116,1.1347659140891884,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
12,opf,30,30,15,jaccard,pearson,1.0118800979642435,1.1705822895872149,0.5625,0.545694957273139,0.4142004884407259,0.375,0.5704761904761906,0.6046783625730994,0.203125,0.41,0.2548872180451128
13,opf,30,16,14,pearson,pearson,0.961787362310238,1.1347674742083318,0.625,0.7062598816909965,0.610429177854793,0.390625,0.6252380952380954,0.6725563909774436,0.21875,0.4628571428571428,0.3443609022556391
