,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679856467.835543,99683,opf,15,15,22,NA,NA,0.32753976781680644,0.8936996130541296,0.47938539870694696,0.039300112214787415,0.19823629570881265
1,1679856469.871356,99683,opf_snn,15,7,59,NA,NA,0.7896321340237661,0.8995084536233766,0.8409966405418241,0.3642286214825359,0.5223015852360932
0,1679856471.615542,99683,opf,20,20,15,NA,NA,0.3169011708079293,0.9032735235304229,0.46919254840277574,0.0352389757261723,0.19143961015011324
1,1679856473.991944,99683,opf_snn,20,12,45,NA,NA,0.7398583380650956,0.8880802840227496,0.8072215918838177,0.2981396946939577,0.4673708667162935
0,1679856475.967573,99683,opf,25,24,12,NA,NA,0.2822510489414999,0.9277175920141857,0.43281991715201223,0.035241011809438186,0.1959806312340094
1,1679856478.746925,99683,opf_snn,25,9,53,NA,NA,0.7620382463100986,0.8857797397784865,0.8192628618164944,0.3072138537522632,0.47180111865832514
0,1679856480.81965,99683,opf,30,30,5,NA,NA,0.15590125179053563,0.9118491581501355,0.26627650783604223,0.01699826209447678,0.1107138973266965
1,1679856484.140971,99683,opf_snn,30,10,53,NA,NA,0.7907584209193526,0.8776782822347328,0.8319542374285099,0.3442682982651551,0.47411916399333864
0,1679856486.424248,99683,opf,35,32,3,NA,NA,0.09512092236216925,0.9044620133710636,0.17213831464678114,0.00935853796143747,0.06709966901720822
1,1679856490.22412,99683,opf_snn,35,15,40,NA,NA,0.6770771507747465,0.8641782396398049,0.7592711031485532,0.20805958823411946,0.3864310734111742
0,1679856492.63517,99683,opf,40,38,2,NA,NA,0.08419789952512842,0.8933891902537003,0.15389215766921627,0.009202928567507275,0.06485644948198267
1,1679856497.160836,99683,opf_snn,40,16,39,NA,NA,0.706416711873423,0.893247835597787,0.7889219022932648,0.25812140140650564,0.4572782955811826
0,1679856499.882338,99683,opf,45,45,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856505.044405,99683,opf_snn,45,25,36,NA,NA,0.6546718225904258,0.851064773735975,0.7400605496653027,0.18559104457057418,0.35477347111180396
0,1679856508.017393,99683,opf,50,45,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856513.17201,99683,opf_snn,50,23,36,NA,NA,0.6241804468427439,0.8662577441630919,0.7255599716856543,0.1742183042101172,0.36858717223199877
0,1679856516.351682,86953,opf,5,5,61,NA,NA,0.7702096642993628,0.8742059041128479,0.818919315614864,0.30984433147833507,0.41754762708307724
1,1679856517.87826,86953,opf_snn,5,5,77,NA,NA,0.8802842262388151,0.9201752684173151,0.8997878336802407,0.5696437661305447,0.6211341218799699
0,1679856519.435318,86953,opf,10,9,40,NA,NA,0.665185498433641,0.8613064949418711,0.7506473569836828,0.20299776608777112,0.3451069110862391
1,1679856521.157753,86953,opf_snn,10,7,61,NA,NA,0.8408558643496107,0.9118490717055366,0.8749146802439592,0.46249149511859367,0.5616079016258507
0,1679856522.790255,86953,opf,15,15,24,NA,NA,0.47370427179342245,0.8323577298474178,0.6037866683107519,0.06849137010593555,0.22809837003028924
1,1679856524.78049,86953,opf_snn,15,8,61,NA,NA,0.8002600817498678,0.8813200373197123,0.8388363267561756,0.329162523678538,0.45063170882558573
0,1679856526.544277,86953,opf,20,20,14,NA,NA,0.21561685212296286,0.8178265435529661,0.3412614288142206,0.013925496082332072,0.10870119783743236
1,1679856528.876427,86953,opf_snn,20,13,45,NA,NA,0.8295559388051763,0.9175876923661366,0.8713540272204772,0.4632747037064996,0.5664563572634912
0,1679856530.812981,86953,opf,25,25,5,NA,NA,0.09721581188037157,0.6837520482330705,0.17022854303937524,0.006708162595706872,0.051068023119037714
1,1679856533.577477,86953,opf_snn,25,21,29,NA,NA,0.6453981299821459,0.9026795634376997,0.7526595140438997,0.22442327467453096,0.4135659671095115
0,1679856535.692849,86953,opf,30,30,4,NA,NA,0.11859759261448644,0.7250939046090455,0.20385269210147575,0.011857182955224851,0.07985175213486598
1,1679856538.939941,86953,opf_snn,30,27,25,NA,NA,0.5959852332301169,0.8760130762148151,0.7093633928661115,0.1595382580942375,0.3466927337439873
0,1679856541.278038,86953,opf,35,35,3,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856545.046531,86953,opf_snn,35,30,19,NA,NA,0.551180973687458,0.8491490369486059,0.6684635613550939,0.14305153501030188,0.29551010747087836
0,1679856547.529139,86953,opf,40,35,3,NA,NA,0.0,1.0,0.0,0.0,0.0
