,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679858745.341706,33812,opf,35,29,12,NA,NA,0.8345838634963291,0.8896347716837143,0.8612304840040654,0.7711159971396684,0.8541289609440438
1,1679858758.84983,33812,opf_snn,35,20,82,NA,NA,0.9254113233632171,0.9282009717414531,0.9268040483706199,0.8977644058661218,0.9226768415398059
0,1679858770.932427,33812,opf,40,29,12,NA,NA,0.8318557389271087,0.8864395981494054,0.8582807053267207,0.7670925787734341,0.8510309027599801
1,1679858785.926867,33812,opf_snn,40,18,84,NA,NA,0.9441778138586829,0.9465617632194213,0.945368285631242,0.929733317331353,0.9422893280291285
0,1679858799.19804,33812,opf,45,29,12,NA,NA,0.8318557389271087,0.8864395981494054,0.8582807053267207,0.7670925787734341,0.8510309027599801
1,1679858816.05433,33812,opf_snn,45,29,50,NA,NA,0.8774351144124038,0.8840806959539118,0.8807453694585947,0.8433950608175179,0.8739871200576486
0,1679858830.871061,33812,opf,50,29,12,NA,NA,0.8318557389271087,0.8864395981494054,0.8582807053267207,0.7670925787734341,0.8510309027599801
1,1679858849.380919,33812,opf_snn,50,27,56,NA,NA,0.8998904555868686,0.9046003741073873,0.902239268145769,0.8750317730228205,0.8967131536208103
0,1679858865.444967,39221,opf,5,5,247,NA,NA,0.9729092549571937,0.9738747397615928,0.9733917579489323,0.9663644776744665,0.9718901288624276
1,1679858872.57557,39221,opf_snn,5,5,335,NA,NA,0.9678269011471483,0.9680099092634487,0.9679183965547834,0.9605027584059573,0.966109437385519
0,1679858879.626836,39221,opf,10,10,90,NA,NA,0.93819695201301,0.9401051905821084,0.9391501019714976,0.9208048050304359,0.9357122754285778
1,1679858887.298272,39221,opf_snn,10,6,303,NA,NA,0.9623592712954577,0.9624288552676422,0.9623940620237676,0.954426925844745,0.9602738592213041
0,1679858894.898545,39221,opf,15,15,50,NA,NA,0.9100136647023024,0.9132230882772117,0.911615551733272,0.8802775287858673,0.9066140252607447
1,1679858903.341742,39221,opf_snn,15,9,190,NA,NA,0.9524047032959105,0.952630350620597,0.9525175135945324,0.9369605116768492,0.9498401407107094
0,1679858911.592731,39221,opf,20,20,31,NA,NA,0.893809507361451,0.8985240612872112,0.8961605837433937,0.8661575837245039,0.890273351962384
1,1679858921.086107,39221,opf_snn,20,11,159,NA,NA,0.9519548911359524,0.9531594546258063,0.952556792070876,0.9373551162816446,0.9498786504942536
0,1679858930.061214,39221,opf,25,25,22,NA,NA,0.8938354295111816,0.9011241773510781,0.8974650048125787,0.8569057417556025,0.8916344602903722
1,1679858940.622427,39221,opf_snn,25,15,113,NA,NA,0.8998567754791367,0.9002230323968247,0.9000398666773743,0.8734366147585584,0.8944022918486566
0,1679858950.662452,39221,opf,30,28,16,NA,NA,0.8579639742802003,0.8843167612511678,0.8709410688332633,0.8139389250859411,0.8635741961904498
1,1679858962.862224,39221,opf_snn,30,17,99,NA,NA,0.9197203128312372,0.9209723245593291,0.9203458928954144,0.9015963618899453,0.9158489163014655
0,1679858973.759129,39221,opf,35,31,15,NA,NA,0.8512005550486512,0.8997717630610885,0.8748124869975257,0.8027543340134181,0.8684397662686031
1,1679858987.071417,39221,opf_snn,35,24,63,NA,NA,0.9182508919511092,0.9199541693835879,0.9191017415404787,0.8947576801242325,0.9145317713791916
0,1679858999.230569,39221,opf,40,31,15,NA,NA,0.8512005550486512,0.8997717630610885,0.8748124869975257,0.8027543340134181,0.8684397662686031
1,1679859014.335215,39221,opf_snn,40,21,75,NA,NA,0.9099116434578434,0.9098757854094596,0.9098937140803686,0.8889110281458882,0.9048143234771041
0,1679859027.940507,39221,opf,45,31,15,NA,NA,0.8512005550486512,0.8997717630610885,0.8748124869975257,0.8027543340134181,0.8684397662686031
1,1679859044.841574,39221,opf_snn,45,20,84,NA,NA,0.9247353626781438,0.9257208466422657,0.925227842244202,0.9053190309859661,0.921007655453819
0,1679859059.197881,39221,opf,50,46,11,NA,NA,0.8204281839100996,0.8627332830662313,0.8410490787866634,0.7674036404406318,0.8330016872900061
1,1679859078.301546,39221,opf_snn,50,35,42,NA,NA,0.889054862698737,0.8970111530110769,0.8930152866298858,0.8545278899927595,0.8869260682452392
0,1679859094.698209,17739,opf,5,5,242,NA,NA,0.9775085338620603,0.9772969328313443,0.977402721894157,0.9729210630640445,0.9761318867468347
1,1679859101.85127,17739,opf_snn,5,5,339,NA,NA,0.9569405200055361,0.9572564663295824,0.9570984670934194,0.9493850877716296,0.9546843282036463
0,1679859108.907829,17739,opf,10,10,78,NA,NA,0.9514983037960981,0.9516511930715916,0.9515747422926746,0.932054897895333,0.9488502821259917
1,1679859116.566317,17739,opf_snn,10,7,261,NA,NA,0.9560497354755455,0.95652369193386,0.956286654978925,0.9425347371537972,0.9538263799319325
0,1679859124.066459,17739,opf,15,15,45,NA,NA,0.9141003303065374,0.9164423803286006,0.9152698570738312,0.8751858013833215,0.9104904025660725
1,1679859132.612229,17739,opf_snn,15,9,193,NA,NA,0.9674434885376638,0.9674213632425437,0.9674324257636018,0.9551774704039285,0.965600490824918
0,1679859140.8032,17739,opf,20,20,25,NA,NA,0.8825546270475574,0.8951781047446727,0.8888215469572723,0.8258380629016859,0.8824772589408776
1,1679859150.18571,17739,opf_snn,20,13,133,NA,NA,0.949158762177507,0.9490161916481178,0.9490874715586285,0.9358379834249275,0.9462240217095677
0,1679859159.152466,17739,opf,25,23,19,NA,NA,0.8694192737786489,0.8822511714936998,0.8757882224714421,0.8067701657020941,0.8686974227475477
1,1679859169.729037,17739,opf_snn,25,19,87,NA,NA,0.8898430341732921,0.8897390344638675,0.8897910312796811,0.8547967909796268,0.8835923691649221
0,1679859179.726266,17739,opf,30,23,19,NA,NA,0.8694192737786489,0.8822511714936998,0.8757882224714421,0.8067701657020941,0.8686974227475477
1,1679859191.621601,17739,opf_snn,30,14,124,NA,NA,0.923520714833847,0.9234723527839308,0.9234965331757278,0.9042558690497653,0.9191933221620628
0,1679859202.343419,17739,opf,35,35,15,NA,NA,0.8309068579778631,0.8441182410100058,0.8374604485905727,0.7458492364149254,0.8281756314526678
1,1679859215.489653,17739,opf_snn,35,13,134,NA,NA,0.949158762177507,0.9490161916481178,0.9490874715586285,0.9358379834249275,0.9462240217095677
0,1679859227.105194,17739,opf,40,39,14,NA,NA,0.8292623625739645,0.8420932501362298,0.8356285554134113,0.7507206645402731,0.826242472111318
1,1679859241.79659,17739,opf_snn,40,24,61,NA,NA,0.8998312236100532,0.8999938044848776,0.8999125067043792,0.8627274211030759,0.8942813983304508
0,1679859255.002841,17739,opf,45,39,14,NA,NA,0.8292623625739645,0.8420932501362298,0.8356285554134113,0.7507206645402731,0.826242472111318
1,1679859271.58392,17739,opf_snn,45,25,56,NA,NA,0.8935567086028519,0.8958100197414267,0.8946819453989481,0.847108115971591,0.888742151017215
0,1679859286.381458,17739,opf,50,47,12,NA,NA,0.8031789751226036,0.8486414080658913,0.8252845688479251,0.7173957517485164,0.8164133648043319
1,1679859305.301722,17739,opf_snn,50,22,72,NA,NA,0.8856647852978917,0.8856141711798552,0.8856394775157267,0.8534244395270952,0.8792069159680712
0,1679859321.736073,17219,opf,5,5,265,NA,NA,0.961897357590769,0.9613918369789373,0.9616445308489033,0.9592901281610204,0.9594821804011219
1,1679859328.995221,17219,opf_snn,5,4,428,NA,NA,0.968918989115599,0.9685607671805109,0.9687398450321077,0.965016547688801,0.9669771881539699
0,1679859335.928148,17219,opf,10,10,92,NA,NA,0.9495257822048001,0.9499476631188645,0.9497366758110837,0.9372382332724246,0.9468999377173021
1,1679859343.596137,17219,opf_snn,10,7,259,NA,NA,0.9700576399117621,0.9702584278871113,0.9701580235104563,0.9640173904060108,0.9684742403189474
0,1679859351.122487,17219,opf,15,15,46,NA,NA,0.9157793632354763,0.9163101513086462,0.9160446803828108,0.8913228138474739,0.9113063086424138
1,1679859359.633177,17219,opf_snn,15,10,180,NA,NA,0.9618500838711759,0.9616238813584436,0.961736969313986,0.9537723290272407,0.9595791229244642
0,1679859367.97901,17219,opf,20,20,28,NA,NA,0.9020681594167774,0.9046696204317423,0.9033670170461123,0.8692321688832595,0.8978990548516047
1,1679859377.309823,17219,opf_snn,20,11,177,NA,NA,0.9578976868968205,0.9577990794812886,0.9578483806512255,0.9475612141165525,0.9554709798114087
0,1679859386.258148,17219,opf,25,25,23,NA,NA,0.8953545803243455,0.8987502912192141,0.8970492222326316,0.8625202783320792,0.8912177368760508
1,1679859396.798447,17219,opf_snn,25,17,96,NA,NA,0.9312449380005099,0.9317474828759483,0.9314961426571289,0.9130566885858608,0.9276296523287626
0,1679859406.566041,17219,opf,30,28,17,NA,NA,0.8854201306401218,0.9006707640772185,0.8929803381805984,0.8423965787911745,0.8868521405165344
1,1679859418.295814,17219,opf_snn,30,13,149,NA,NA,0.9500516897288535,0.9503565390288929,0.9502040899280488,0.9419808530480591,0.9473941799619838
0,1679859428.979296,17219,opf,35,28,17,NA,NA,0.8814283874394051,0.8964611430693928,0.8888812113220672,0.8354375399560082,0.8825192842530956
1,1679859442.216282,17219,opf_snn,35,18,87,NA,NA,0.9031072115738579,0.902850159439174,0.9029786672126733,0.8716517982937636,0.8975069931233404
0,1679859454.21932,17219,opf,40,40,14,NA,NA,0.8822451742392752,0.8983874728962654,0.8902431546841293,0.8373602951144142,0.8839520986897643
1,1679859469.42816,17219,opf_snn,40,22,69,NA,NA,0.9167443356536623,0.9160977169372176,0.9164209122333025,0.8934021995900197,0.9117096906901297
0,1679859483.162328,17219,opf,45,42,13,NA,NA,0.8623053193588712,0.9141201374678544,0.8874570605170969,0.8166373475629323,0.8817134608267844
1,1679859500.426223,17219,opf_snn,45,22,68,NA,NA,0.9167443356536623,0.9160977169372176,0.9164209122333025,0.8934021995900197,0.9117096906901297
0,1679859515.298962,17219,opf,50,50,12,NA,NA,0.8608495571852586,0.9083095802356548,0.8839429799095114,0.8164623772203694,0.878045130276888
1,1679859534.539845,17219,opf_snn,50,32,47,NA,NA,0.8880777241593342,0.889317769157946,0.8886973140842344,0.8682350190592728,0.8824100827139637
0,1679859551.188548,95673,opf,5,5,247,NA,NA,0.9684170070535172,0.9685710534123562,0.9684940241073747,0.963368906800151,0.9667208085085132
1,1679859558.357872,95673,opf_snn,5,4,427,NA,NA,0.9627292352633555,0.962664491409058,0.9626968622476588,0.955957699762892,0.9605979321803989
0,1679859565.372204,95673,opf,10,10,84,NA,NA,0.9301393791548429,0.9319714710376052,0.9310545238177995,0.9050022741985169,0.9271664846820925
1,1679859573.174301,95673,opf_snn,10,7,257,NA,NA,0.9591102742027517,0.9589567764804807,0.9590335191996123,0.9509861393056095,0.9567286904889098
