,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679926813.417919,86953,opf,20,20,257,1.435676530598487,0.09019625186920166,NA,NA,NA,NA,NA
1,1679926970.921622,86953,opf_snn,20,12,856,1.660618730154435,-0.04691685736179352,NA,NA,NA,NA,NA
0,1679927127.417767,86953,opf,25,25,206,1.460237097543747,0.12374745309352875,NA,NA,NA,NA,NA
1,1679927284.72692,86953,opf_snn,25,20,519,1.654021474541104,-0.003614117857068777,NA,NA,NA,NA,NA
0,1679927426.431,86953,opf,30,30,161,1.5277346120187758,0.10912516713142395,NA,NA,NA,NA,NA
1,1679927573.40338,86953,opf_snn,30,18,561,1.7454094504467184,-0.02569226175546646,NA,NA,NA,NA,NA
0,1679927732.67725,86953,opf,35,35,141,1.5560822305775481,0.11524436622858047,NA,NA,NA,NA,NA
1,1679927908.037608,86953,opf_snn,35,23,461,1.640702356549148,0.004023705143481493,NA,NA,NA,NA,NA
0,1679928071.699917,86953,opf,40,40,126,1.5609199685927846,0.12814266979694366,NA,NA,NA,NA,NA
1,1679928230.997912,86953,opf_snn,40,23,460,1.640702356549148,0.004023705143481493,NA,NA,NA,NA,NA
0,1679928390.328744,86953,opf,45,45,104,1.765994891079606,0.1325252503156662,NA,NA,NA,NA,NA
1,1679928557.979903,86953,opf_snn,45,40,261,1.683993835397807,0.03828778862953186,NA,NA,NA,NA,NA
0,1679928717.04533,86953,opf,50,50,85,1.8655377515610878,0.13430772721767426,NA,NA,NA,NA,NA
1,1679928891.36937,86953,opf_snn,50,27,390,1.7364788718163495,0.009652226231992245,NA,NA,NA,NA,NA
0,1679929052.202023,33812,opf,5,5,1487,1.4958360524231515,-0.02028721012175083,NA,NA,NA,NA,NA
1,1679929182.500005,33812,opf_snn,5,4,2209,1.3181462698887372,-0.06707850098609924,NA,NA,NA,NA,NA
0,1679929312.055845,33812,opf,10,10,607,1.5820873907186108,0.08243994414806366,NA,NA,NA,NA,NA
1,1679929445.714062,33812,opf_snn,10,8,1263,1.45143201546292,-0.059510719031095505,NA,NA,NA,NA,NA
0,1679929577.485327,33812,opf,15,15,384,1.4918897265124935,0.11857569217681885,NA,NA,NA,NA,NA
1,1679929712.341331,33812,opf_snn,15,11,913,1.5178878675829464,-0.05630103126168251,NA,NA,NA,NA,NA
0,1679929845.927427,33812,opf,20,20,267,1.4690985446897855,0.14570629596710205,NA,NA,NA,NA,NA
1,1679929984.613491,33812,opf_snn,20,13,792,1.5798475025544712,-0.04889414459466934,NA,NA,NA,NA,NA
0,1679930120.711783,33812,opf,25,25,212,1.4832673362446498,0.13154380023479462,NA,NA,NA,NA,NA
1,1679930263.83738,33812,opf_snn,25,19,540,1.7252530906924923,-0.02538766898214817,NA,NA,NA,NA,NA
0,1679930403.272327,33812,opf,30,30,178,1.4052478921122422,0.13736838102340698,NA,NA,NA,NA,NA
1,1679930551.798287,33812,opf_snn,30,17,582,1.6279025059794883,-0.023049170151352882,NA,NA,NA,NA,NA
0,1679930694.277135,33812,opf,35,35,135,1.440851520786813,0.12512756884098053,NA,NA,NA,NA,NA
1,1679930847.100194,33812,opf_snn,35,20,517,1.678034336023361,-0.014836028218269348,NA,NA,NA,NA,NA
0,1679930994.774168,33812,opf,40,40,116,1.4765466229156283,0.1152653694152832,NA,NA,NA,NA,NA
1,1679931155.412797,33812,opf_snn,40,25,413,1.64177377546119,-0.0019616009667515755,NA,NA,NA,NA,NA
0,1679931307.488027,33812,opf,45,45,102,1.5886861028902435,0.11868597567081451,NA,NA,NA,NA,NA
1,1679931473.662552,33812,opf_snn,45,24,444,1.6439038778769788,-0.00010944026143988594,NA,NA,NA,NA,NA
0,1679931630.336875,33812,opf,50,50,90,1.509088363128381,0.11520636081695557,NA,NA,NA,NA,NA
1,1679931802.958235,33812,opf_snn,50,24,445,1.6399253516797496,-0.0017441482050344348,NA,NA,NA,NA,NA
0,1679931965.060909,39221,opf,5,5,1484,1.4704270184794113,-0.002467780839651823,NA,NA,NA,NA,NA
1,1679932095.16439,39221,opf_snn,5,5,1870,1.3935593812914342,-0.06257954239845276,NA,NA,NA,NA,NA
0,1679932224.231911,39221,opf,10,10,631,1.5082263082231695,0.04962724447250366,NA,NA,NA,NA,NA
1,1679932356.874775,39221,opf_snn,10,9,1119,1.4752386549545502,-0.05996432527899742,NA,NA,NA,NA,NA
0,1679932487.839168,39221,opf,15,15,380,1.456898259502415,0.06259595602750778,NA,NA,NA,NA,NA
1,1679932622.972176,39221,opf_snn,15,11,941,1.503524563520794,-0.054936353117227554,NA,NA,NA,NA,NA
0,1679932756.857868,39221,opf,20,20,276,1.3943566050731167,0.09172829985618591,NA,NA,NA,NA,NA
1,1679932896.487675,39221,opf_snn,20,16,647,1.6382331192262474,-0.042381610721349716,NA,NA,NA,NA,NA
0,1679933032.877849,39221,opf,25,25,217,1.4177064937837591,0.10124474763870239,NA,NA,NA,NA,NA
