,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679891380.65546,33812,opf,15,15,333,1.2879966498452742,0.14617858827114105,NA,NA,NA,NA,NA
1,1679891452.604153,33812,opf_snn,15,14,554,1.0068615876086406,0.18179388344287872,NA,NA,NA,NA,NA
0,1679891523.922894,33812,opf,20,20,226,1.4215042536502847,0.11106263101100922,NA,NA,NA,NA,NA
1,1679891598.365743,33812,opf_snn,20,16,491,1.0831436428382315,0.1940726488828659,NA,NA,NA,NA,NA
0,1679891671.858635,33812,opf,25,25,154,1.565551523254293,0.10066541284322739,NA,NA,NA,NA,NA
1,1679891749.885033,33812,opf_snn,25,23,344,1.2072931713753692,0.1578674614429474,NA,NA,NA,NA,NA
0,1679891826.273481,33812,opf,30,30,112,1.6553110026623241,0.08930967003107071,NA,NA,NA,NA,NA
1,1679891907.821273,33812,opf_snn,30,25,291,1.2040570473618988,0.1679016649723053,NA,NA,NA,NA,NA
0,1679891986.68142,33812,opf,35,35,79,1.7191509544009518,0.09162493795156479,NA,NA,NA,NA,NA
1,1679892072.154546,33812,opf_snn,35,30,246,1.2207036005520733,0.16651995480060577,NA,NA,NA,NA,NA
0,1679892154.418053,33812,opf,40,39,69,1.7725154946191675,0.07364155352115631,NA,NA,NA,NA,NA
1,1679892244.812749,33812,opf_snn,40,30,246,1.2207036005520733,0.16651995480060577,NA,NA,NA,NA,NA
0,1679892330.557193,33812,opf,45,44,62,1.750935096719968,0.08546576648950577,NA,NA,NA,NA,NA
1,1679892425.851259,33812,opf_snn,45,28,269,1.2091488005159,0.16258670389652252,NA,NA,NA,NA,NA
0,1679892515.349877,33812,opf,50,50,55,1.776827686663793,0.07569028437137604,NA,NA,NA,NA,NA
1,1679892618.606723,33812,opf_snn,50,34,231,1.2246285042860374,0.157743439078331,NA,NA,NA,NA,NA
0,1679892711.443932,39221,opf,5,5,1083,0.883861806594917,0.21872125566005707,NA,NA,NA,NA,NA
1,1679892779.712765,39221,opf_snn,5,5,1296,0.803722536507623,0.18318837881088257,NA,NA,NA,NA,NA
0,1679892847.540158,39221,opf,10,10,548,1.0640156374198102,0.15534454584121704,NA,NA,NA,NA,NA
1,1679892918.215887,39221,opf_snn,10,10,741,0.9700641420908591,0.16570673882961273,NA,NA,NA,NA,NA
0,1679892987.579328,39221,opf,15,15,336,1.1994349160019846,0.12661206722259521,NA,NA,NA,NA,NA
1,1679893059.617554,39221,opf_snn,15,15,520,1.0383887699686252,0.17488466203212738,NA,NA,NA,NA,NA
0,1679893130.652875,39221,opf,20,20,220,1.4023690956880863,0.09323032200336456,NA,NA,NA,NA,NA
1,1679893205.199757,39221,opf_snn,20,17,453,1.0771697886955935,0.15678487718105316,NA,NA,NA,NA,NA
0,1679893278.347703,39221,opf,25,25,158,1.462544398268529,0.07944092899560928,NA,NA,NA,NA,NA
1,1679893355.779147,39221,opf_snn,25,19,412,1.2090222321574993,0.1494610458612442,NA,NA,NA,NA,NA
0,1679893431.669797,39221,opf,30,30,120,1.5829982260902753,0.0660758763551712,NA,NA,NA,NA,NA
1,1679893513.045366,39221,opf_snn,30,24,335,1.1702782393629139,0.1769517958164215,NA,NA,NA,NA,NA
0,1679893591.909119,39221,opf,35,35,86,1.6359000026340493,0.08818839490413666,NA,NA,NA,NA,NA
1,1679893677.984026,39221,opf_snn,35,25,324,1.224900004537765,0.15230979025363922,NA,NA,NA,NA,NA
0,1679893760.077309,39221,opf,40,40,71,1.7359682532877179,0.10087096691131592,NA,NA,NA,NA,NA
1,1679893850.082025,39221,opf_snn,40,30,268,1.229715274558523,0.16384698450565338,NA,NA,NA,NA,NA
0,1679893935.800104,39221,opf,45,45,63,1.7763314348528416,0.09114682674407959,NA,NA,NA,NA,NA
1,1679894030.738061,39221,opf_snn,45,40,195,1.3317064301370172,0.12236565351486206,NA,NA,NA,NA,NA
0,1679894120.529317,39221,opf,50,48,58,1.7964080103928564,0.08965146541595459,NA,NA,NA,NA,NA
1,1679894220.945349,39221,opf_snn,50,38,208,1.373755228440539,0.12766721844673157,NA,NA,NA,NA,NA
0,1679894314.778849,17739,opf,5,5,1084,0.8543955866418417,0.20205296576023102,NA,NA,NA,NA,NA
1,1679894383.311157,17739,opf_snn,5,5,1287,0.7971650807041499,0.17935778200626373,NA,NA,NA,NA,NA
0,1679894451.417632,17739,opf,10,10,538,1.084140101880366,0.1747329831123352,NA,NA,NA,NA,NA
1,1679894521.915329,17739,opf_snn,10,9,797,0.9599773369533574,0.18419253826141357,NA,NA,NA,NA,NA
0,1679894591.543991,17739,opf,15,15,333,1.2265624943402578,0.1423429548740387,NA,NA,NA,NA,NA
1,1679894664.511079,17739,opf_snn,15,14,551,1.0288736529386837,0.17929019033908844,NA,NA,NA,NA,NA
