,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
3,kmeans,40,0,16,euclidean,pearson,0.6031141604796597,0.7435307972012449,0.5901639344262295,0.6292210368825294,0.631960636506231,0.5409836065573771,0.7170542635658914,0.7417724867724867,0.3770491803278688,0.42984496124031,0.3623148148148149
4,kmeans,50,0,32,euclidean,pearson,0.6757633950080584,0.8607219474404245,0.5245901639344263,0.5117712257530574,0.4838204445347063,0.4426229508196721,0.6174418604651162,0.6256084656084656,0.3442622950819672,0.3728682170542635,0.3150925925925926
5,kmeans,60,0,24,euclidean,pearson,0.6174883394038432,0.7893004144464756,0.4918032786885246,0.5363468984560895,0.5578167482038171,0.4426229508196721,0.6674418604651162,0.6793915343915344,0.2950819672131147,0.4031007751937986,0.3250925925925925
6,kmeans,60,0,26,squared_euclidean,pearson,0.6880979524835976,0.8232914985848322,0.5409836065573771,0.62004298022927,0.6385648160473104,0.4918032786885246,0.6628205128205128,0.7534013605442178,0.2786885245901639,0.3277777777777778,0.3483276643990929
0,kmeans,10,0,85,euclidean,pearson,0.6542175687701636,0.8173686871800834,0.5573770491803278,0.5410914896026033,0.5751292328687907,0.4918032786885246,0.6465116279069767,0.6575925925925927,0.3442622950819672,0.3914728682170542,0.317037037037037
1,kmeans,20,0,35,euclidean,pearson,0.6663483968289488,0.8397481033511814,0.4426229508196721,0.4966916546562999,0.4890906141131589,0.4262295081967213,0.5670542635658915,0.5633333333333336,0.3114754098360656,0.3775193798449612,0.3324999999999999
2,kmeans,30,0,20,euclidean,pearson,0.5965031080254302,0.7520581993123145,0.5245901639344263,0.5679497964541577,0.5860561787473803,0.4590163934426229,0.6453488372093023,0.6871428571428573,0.3114754098360656,0.4379844961240309,0.3849999999999999
3,kmeans,40,0,20,euclidean,pearson,0.5965031080254302,0.7520581993123145,0.5245901639344263,0.5679497964541577,0.5860561787473803,0.4590163934426229,0.6453488372093023,0.6871428571428573,0.3114754098360656,0.4379844961240309,0.3849999999999999
4,kmeans,50,0,20,euclidean,pearson,0.5965031080254302,0.7520581993123145,0.5245901639344263,0.5679497964541577,0.5860561787473803,0.4590163934426229,0.6453488372093023,0.6871428571428573,0.3114754098360656,0.4379844961240309,0.3849999999999999
5,kmeans,60,0,6,euclidean,pearson,0.5966094961541746,0.747290111791241,0.5409836065573771,0.5982095577106942,0.621977484485409,0.4426229508196721,0.6748062015503876,0.7176719576719576,0.2950819672131147,0.4263565891472868,0.3598148148148147
6,kmeans,60,0,8,squared_euclidean,pearson,0.6874642568247677,0.8397493249826051,0.5737704918032787,0.5662985541572341,0.5196562329670926,0.4754098360655737,0.5431372549019606,0.512880291005291,0.3442622950819672,0.328921568627451,0.3192460317460317
0,kmeans,10,0,97,euclidean,pearson,0.6483387825327545,0.8130571548196687,0.5737704918032787,0.5524204049384501,0.5595687098138128,0.5573770491803278,0.6515503875968993,0.7492857142857142,0.3770491803278688,0.3682170542635659,0.3462037037037037
1,kmeans,20,0,44,euclidean,pearson,0.6867754599870721,0.8502160018036613,0.5081967213114754,0.517946816700228,0.5268070134987919,0.5245901639344263,0.6248062015503876,0.6522222222222223,0.4098360655737705,0.3825581395348836,0.3400925925925925
